Investigation,Study,Person,Data,Biological,Environment,Event,Observation Unit,Sample,Observed Variable
,"Duggal P , Gillanders EM , Holmes TN , Bailey-Wilson JE ( 2008 ) Establishing adjusted p-value threshold control family-wide type 1 error genome wide association study .",,,,"Habier , Fernando R , Dekkers J ( 2007 ) impact genetic relationship information genome-assisted breeding value .",,"view predictive method offering flexibility effect magnitude Bayes B [ 110 ] , Bayes Cpi [ 111 ] Lasso [ 112 ] priori adapted RA-blups [ 113 ] ridge regression RR-blups [ 110 ] method constrain range variation effect fit distribution .","Corn Belt Dents , intermediate flint tropicals respect flowering date , presented higher level diversity QTLs .",Extent linkage disequilibrium number marker needed reach average r2 = 0.1 individual chromosome whole genome .
,( 2012 ) Diversity linkage disequilibrium feature composite public/private dent maize panel : consequence association genetics evaluated case study using flowering time .,,,,,,"Loiselle BA , Sork VL , Nason J , Graham C ( 1995 ) Spatial genetic structure tropical understory shrub , Psychotria officinalis ( Rubiaceae ) .",consistent development hybridization Southern Dent material ( derivated tropicals ) Northern Flints ( see [ 105 ] review ) .,number reported bracket indicates number equidistant marker would needed reach average r2 0.1 adjacent marker ; bnumber marker used estimate LD extent chromosome whole genome .
,using genome-wide dense marker map .,,,,,,Sved JA ( 1971 ) Linkage disequilibrium homozygosity chromosome genetic value semiparametric procedure .,higher level polymorphism allows many different putative combination early-late allele adjustment flowering date local environmental condition .,"doi:10.1371/journal.pone.0071377.t002 Genome Scan Flowering Time Adaptation Maize Identification locus selection SNPs , Hierfstat FST ( FST ) based non-admixed line ( assignment group .0.8 ) ranged 0 0.95 ."
,,,,,,,"Duggal P , Gillanders EM , Holmes TN , Bailey-Wilson JE ( 2008 ) Establishing adjusted p-value threshold control family-wide type 1 error genome wide association study .","different allele high frequency different group , naive approach yield many false signal , mixed model approach miss entirely due colinearity causal polymorphism structure covariates .","Extent LD estimation number marker needed association genetics average , entire genome , LD decreased r2 = 0.1 200 kb according Hill Weir model [ 53 ] ( Table 2 ) ."
,,,,,,,( 2010 ) DNA polymorphism haplotype pattern transcription factor involved barley endosperm development associated key agronomic trait .,"highlight utility multiparental linkage based approach like NAM design break observed structure founder line reach balanced allele frequency , thus increasing statistical power [ 4 ] .","long distance LD nevertheless observed centromeric region ( see Table S4 Text S1 position ) , chromosome 1 , 5 8 particular ( Figure 1 ) ."
,,,,,,,"89. van Inghelandt , Reif J , Dhillon B , Flament P , Melchinger ( 2011 ) Extent genome-wide distribution linkage disequilibrium commercial maize germplasm .","Lin YR , Schertz KF , Paterson AH ( 1995 ) Comparative analysis QTLs affecting plant height maturity across Poaceae , reference interspecific sorghum population .",PLOS ONE | www.plosone.org 6 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize Figure 1 .
,,,,,,,"Meuwissen , Hayes B , Goddard ( 2001 ) Prediction total genetic value United States corn belt .",( 1997 ) Identification quantitative trait locus controlling heading date rice using high-density linkage map .,"Phenotypic variation male ( MFLW ) , female flowering time ( FFLW ) , anthesis silking interval ( ASI ) association genetics analysis present design included eight additional field experiment compared previous study included two experiment [ 21,30 ] ."
,,,,,,,"Habier , Fernando R , Dekkers J ( 2007 ) impact genetic relationship information genome-assisted breeding value .",Plant Cell 18 : 1783–1789 .,"FFLW8 , group adjusted mean 762 ( 641 ) , 763 ( 635 ) , 943 ( 673 ) , 889 ( 623 ) 1181 ( 633 ) NF , EF , SS , CBD Trop , respectively ( see Table S5 Text S1 trait ) .We tested several structure kinship matrix FFLW8 association study order avoid excess false positive ."
,,,,,,,,Annu Rev Plant Physiol 27 : 321–348 .,"Considering limited difference SSR SNP based estimate population structure kinship , used model Q55SSRs+KIBS ( 94SSRs ) reference avoid using SNPs candidate locus population structure kinship estimation ."
,,,,,,,,"Banfield MJ , Brady RL ( 2000 ) structure Antirrhinum centroradialis protein ( CEN ) suggests role kinase regulator .","probably relates large number marker high LD region , consequently important contribution KIBS ( 30KSNPs ) kinship estimation ( Rincent et al. , pers ."
,,,,,,,,Plant Cell 14 : S111–S130 .,"Considering threshold , 673 marker associated FFLW8 , 843 MFLW8 145 ASI8 ."
,,,,,,,,Plant Physiol 146 : 250–264 .,"Among association FFLW8 , 96 ( corresponding 18 region ) P-value 1025 , 50 1026 ( corresponding Bonferroni correction ) 7 1027 ( corresponding break point PLOS ONE | www.plosone.org 7 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize Figure 2 ."
,,,,,,,,Plant Physiol 142 : 1523–1536 .,"adding Vgt1 ( presence-absence Mite allele ) , strong effect flowering time ( 7 day ) according [ 21 ] , covariate model , marker remained significant FFLW8 ( result shown ) ."
,,,,,,,,BMC Plant Biol 12 : 56 .,also observed significant test early allele generally highest frequency highest absolute effect corresponded extreme frequency ( Figure 3 ) .
,,,,,,,,Plant Journal 44 : 1054–1064 .,"Estimated genetic variance associated locus significant effect ranged 0 ( discarding limited number low negative value ) 34 % , three-quarters value 10 % ( Figure S20 Text S1 ) according linear mixed model ( lmm ) 0 9 % according linear model ( lm ) ."
,,,,,,,,( 2006 ) Maize adaptation temperate climate : relationship population structure polymorphism Dwarf8 gene .,"Regions highest contribution flowering time variation Zea CENTRORADIALIS Table 3 summarizes information 18 significant locus selected among cluster locus along genome showing major contribution flowering time variation according model Q55SSRs+KIBS ( 94SSRs ) Q55SSRs+KIBS ( 30KSNPs ) , well 10 additional locus strongly selection ."
,,,,,,,,"( 2011 ) large maize ( Zea may L. ) SNP genotyping array : Development germplasm genotyping , genetic mapping compare B73 reference genome .","PZB02155.1 1 Mb apart ( 124657056 bp ) , found associated flowering time NAM population [ 4 ] panel including structure model ."
,,,,,,,,( 2009 ) Fine mapping haplotype structure analysis major flowering time Quantitative Trait Locus maize chromosome 10 .,"8 Mb apart Vgt1 Mite ( 131984851 bp ) , major flowering time QTL cloned [ 24 ] ."
,,,,,,,,"Flint-Garcia SA , Thornsberry JM , Buckler ES ( 2003 ) Structure linkage disequilibrium plant .","ZCN8 located two flowering time meta QTL defined meta analysis [ 22 ] ( green meta QTL Vgt2 blue meta QTL Vgt1 Figure 3 paper ) , marker umc1592 ( 125903155 bp ) , border Vgt1 QTL ."
,,,,,,,,Annu Rev Plant Biol 54 : 357–374 .,"According projection flowering time meta QTL [ 10 ] maize sequence , seven associated marker found meta QTLs ( # 2 , # 4 , # 5 , # 6 , # 15 , # 16 , # 17 ) ."
,,,,,,,,( 2012 ) Novel measure linkage disequilibrium correct bias due population structure relatedness .,Note PLOS ONE | www.plosone.org 8 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize Figure 3 .
,,,,,,,,( 2008 ) Efficient control population structure model organism association mapping .,"Several associated marker close ZCN gene locus associated flowering time study ( # 4 5 Mb ZCN4 , 400 kb NAM PHM3457.6 , meta QTL 2_4 ; # 17 , 200 kb NAM PHM4748.16 , 1 Mb ZCN7 , meta QTL 6_3 ; # 23 5000 bp ZCN8 , 1 Mb NAM PZB02155.1 ; # 16 , meta QTL 6_1 , 1 Mb ZCN15 , 5 Mb NAM PZA00355.2 ; # 5 : centromere chromosome 2 , 5 Mb ZCN21 , meta QTL 2_4 ) ."
,,,,,,,,"Loiselle BA , Sork VL , Nason J , Graham C ( 1995 ) Spatial genetic structure tropical understory shrub , Psychotria officinalis ( Rubiaceae ) .",Note # 15 may involved sugar pathway observed Arabidopsis [ 68 ] .
,,,,,,,,"Pritchard JK , Stephens , Donnelly P ( 2000 ) Inference population structure using multilocus genotype data .","LD , diversity differentiation marker associated FFLW8 region selection Diversity FST higher marker associated FFLW8 ( P-value,1025 ) compared part genome ( 0.42 compared 0.36 , FST 0.27 compared 0.16 ) ."
,,,,,,,,"Falush , Stephens , Pritchard JK ( 2003 ) Inference population structure using multilocus genotype data : linked locus correlated allele frequency .","locus , mean proportion early allele accumulated NF , EF , SS , CBD Trop non-admixed line 0.87 , 0.83 , 0.41 , 0.48 0.39 , respectively ( Figure S22 Text S1 ) , consistent average flowering time group ."
,,,,,,,,"Weir BS , Cockerham CC ( 1984 ) Estimating F-statistics analysis population structure .","Allelic frequency Vgt2 slightly differentiated observed Vgt1 ( Vgt1 Vgt2 , early allele fixed NF , frequency 0.94 0.97 EF , 0.5 0.7 CBD , 0.17 0.13 tropicals , respectively ) ."
,,,,,,,,"Ritchie J , NeSmith ( 1991 ) Temperature crop development .","Besides diversity trend , region associated flowering time also displayed higher LD ( r2 = 0.2 compared 0.14 entire genome ) lower recombination ( 0.02 compared 0.04 ) ."
,,,,,,,,Modeling plant soil system American Society Agronomy Madison Wisconsin USA .,"addition , marker found selection although related flowering time panel ."
,,,,,,,,( 2010 ) DNA polymorphism haplotype pattern transcription factor involved barley endosperm development associated key agronomic trait .,"nevertheless related flowering time according study ( # 1 , meta QTL 1_5 , 4 Mb association P- value 1025 ; # 3 1 Mb Phyc1 ; # 18 , 200 kb NAM PZA02722.1 ."
,,,,,,,,BMC Plant Biol 10 : 5 .,PLOS ONE | www.plosone.org 9 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize 0 e r e f n r l n e n e p N R 2 6 4 4 8 0 G 2 Z R G 4 _ 2 3 1 0 .
,,,,,,,,( 2009 ) Maize centromere structure evolution : sequence analysis centromere 2 5 reveals dynamic locus shaped primarily retrotransposons .,"n e h w l ) h g h ( n c f n g , ] 7 4 [ n c e B h w e n b e n c e e l r f ) ; e n l e x - n n g n u ] 6 4 [ f r e H - r h w e u c l c l x e n r r e p ( 0 1 g n n e r e f f k l j ; ) R 4 9 ( B K + R 5 5 Q l e e x r e n l n r e k r e h b ; R 5 5 Q l e r e n l n r e k r e h b e n p x e l e n p x e l e c n r v f e c n r v f e g n e c r e p h e g n e c r e p Genome Scan Flowering Time Adaptation Maize Discussion Suitability 50K Illumina array investigating line similarity , panel structure local diversity trend along genome ( CBD SS ) Ascertainment bias due marker type selection concern diversity analysis ."
,,,,,,,,( 2008 ) Population structure genetic diversity New World maize race assessed DNA microsatellites .,"confirmed considering overrepresented set B73 ( SS ) 6Mo17 ( CBD ) SNPs lead overestimated genetic distance dent line ( Figure S5 Text S1 ) , observed study [ 31,69 ] ."
,,,,,,,,"75. van Inghelandt , Melchinger AE , Lebreton C , Stich B ( 2010 ) Population structure genetic diversity commercial maize breeding program assessed SSR SNP marker .","Considering MAF distribution , observed lower proportion rare allele ( ,0.1 ) compared frequency class slight excess intermediate allele ( Figure S3 Text S1 ) ."
,,,,,,,,( 2009 ) Genetic characterization linkage disequilibrium estimation global maize collection using SNP marker .,slight excess intermediate frequency allele consistent high enrichment intermediate frequency allele observed three genomic region sequenced ( Figure S3 Text S1 ) .
,,,,,,,,( 2001 ) Structure linkage disequilibrium phenotypic association maize genome .,"group passed comparable sampling procedure , difference observed suggest involvement different evolutionary process ."
,,,,,,,,"( 2002 ) SNP frequency , haplotype structure linkage disequilibrium elite maize inbred line .",relative ( compared group ) overabundance rare allele observed Northern Flints suggests population expansion group accompanied limited introgression external genetic group .
,,,,,,,,Plant Cell 16 : 2719–2733 .,": PLOS ONE | www.plosone.org 11 August 2013 | Volume 8 | Issue 8 | e71377 stated , level polymorphism observed CBD presented limited loss compared tropical material ."
,,,,,,,,"Ersoz ES , Yu J , Buckler ES ( 2007 ) Applications linkage disequilibrium association mapping crop plant .","Alleles observed flint rare absent tropicals also generally noted dent ( CBD ) , whereas reverse true ."
,,,,,,,,"Arumuganathan K , Earle E ( 1991 ) Nuclear DNA content important plant specie .",relative deficiency rare allele observed CBD ( Figure S3 Text S1 ) confirmed emerged recently restricted number founder two origin [ 82 ] .
,,,,,,,,Plant Molecular Biology Reporter 9 : 208–218 .,allele ( 5410 ) observed EF absent NF .
,,,,,,,,,allele generally also observed non-admixed CBD ( 89 % ) tropicals ( 94 % ) .
,,,,,,,,,"Consistent trend , observed lower genetic diversity NF ( 0.28 ) EF ( 0.30 ) relative CBD ( 0.35 ) tropicals ( 0.34 ) ."
,,,,,,,,,"Linkage disequilibrium estimation marker density required association study genotyping method used allow u estimate LD gene level obtained [ 85 ] adequate reveal LD structure genome level considering wide diversity line ( tropicals , Corn Belt Dents , Northern European Flints ) ."
,,,,,,,,,"relatedness corrects [ 34 ] closely linked polymorphism , observed rapid decrease r2 value physical distance SNPs increased ."
,,,,,,,,,"observed extent LD varied among chromosome , i.e ."
,,,,,,,,,"100 kb average along chromosome 1 , 140 200 kb average along chromosome 5 , 6 , 3 7 , 200 300 kb along chromosome 9 , 2 , 4 , 10 8 , suggests Genome Scan Flowering Time Adaptation Maize different selection pressure involved ."
,,,,,,,,,"FastPHASE algorithm , observed one predominant ancestral haplotype shared 67 % line centromeric region , contrast rest genome , presented balanced frequency ancestral haplotype , predominant one shared 53 % line ."
,,,,,,,,,"High differentiation rate , indicating selection force , indeed observed centromere chromosome 3 , 5 , 6 8 ( FST 0.22 , 0.21 , 0.25 , 0.31 , respectively , compared 0.16 average genome ) ."
,,,,,,,,,Differentiation centromeric region also observed [ 1 ] panel included wild relative .
,,,,,,,,,explain 10 % polymorphism detected peak LD outside centromere suggested different local history recombination [ 78 ] highlighted putative selective event involved flowering time adaptive trait .
,,,,,,,,,"highest local LD observed Su1 [ 93,94,95,96 ] , Tga1 [ 97 ] Bt2 chromosome 4 , region involved carbohydrate metabolism [ 98,99 ] known played key role maize domestication ."
,,,,,,,,,"Generally , r2 0.10 considered minimum LD value needed detect association complex trait ."
,,,,,,,,,Association genetics colocalisation QTLs gene involved flowering time generally difficult determine suitable significance threshold GWAS study .
,,,,,,,,,random effect putatively deflated LD marker tested fixed effect distant marker associated variation trait .
,,,,,,,,,"hand , genetic variance estimated lm may underestimated confounding effect structure marker effect , confirmed high differentiation rate observed locus ."
,,,,,,,,,"report information marker associated flowering trait P-value,1025 ( Table S8 ) , highlighting marker P-value,1027 ( Table 3 ) , represents break point logarithm cumulative P-value curve ."
,,,,,,,,,augmentation P-values relative observed individual test suggests colinearity exists flowering time QTLs beyond expected considering relatedness population structure .
,,,,,,,,,position 8 Mb Vgt1 1 Mb marker found associated NAM population [ 4 ] .
,,,,,,,,,"question remains maize ZCN gene role similar Arabidopsis FT. confirmed Genome Scan Flowering Time Adaptation Maize ZCN8 , similar homologue Arabidopsis FT , major effect flowering time variation ."
,,,,,,,,,knowledge clearest evidence reported involvement gene natural variation flowering time maize .
,,,,,,,,,"suggests meta QTL analysis useful describe number QTLs underlying variation flowering time , caution necessary respect exact position estimation ."
,,,,,,,,,"‘ ‘ green zone ’ ’ , developmental process found additional association and/or trace selection vicinity ZCN4 , ZCN7 expression analysis demonstrated involvement [ 17 ] , ZCN15 homologue rice Hd3 according [ 103 ] ZCN21 , thus suggesting could involved flowering time variation ."
,,,,,,,,,"also confirmed , association study approach , Dfl1 nearby polymorphism involved flowering time variation ."
,,,,,,,,,Dfl1 known regulate flowering time shoot apical region mutant exhibit le severe flowering time defect compared ID1 [ 18 ] .
,,,,,,,,,"found many association close regulation factor , binding site , kinase protein ( Table 3 ) , consistent fact trait variation may controlled non-genic region regulating gene expression [ 104 ] ."
,,,,,,,,,broader integration biological informa- tion annotation regulatory element gene pathway would great value gaining insight control flowering time .
,,,,,,,,,Divergent pattern diversity trace selection colocalise flowering time QTLs [ 105 ] .
,,,,,,,,,fact progressive migration maize tropic temperate environment shaped adaptive trait like flowering time led allelic differentiation among group due selection demographic event phenotype distribution match genetic structure make difficult distinguish neutral locus versus locus control adaptive trait like flowering time .
,,,,,,,,,alternative proposed Foll Gaggiotti [ 47 ] directly estimate probability locus subject selection using Bayesian method .
,,,,,,,,,"marker associated flowering time ( 34/35 ) showed high differentiation among group ( Figure S17 Text S1 ) , observed previously Vgt1 locus [ 21 ] ."
,,,,,,,,,"Considering association detected P-value 1025 , observed general pattern early allele propagation temperate line could describe blue wave maize expansion ( Figure 3 ) ."
,,,,,,,,,"average proportion early allele accumulated NF , EF , CBD tropical genome 0.87 , 0.83 , 0.41 , 0.48 0.39 , respectively ( Figure S22 Text S1 ) , congruent precocity group ( adjusted female flowering time GDD 762 , 763 , 943 , 889 1181 , respectively ) ."
,,,,,,,,,"number early allele gathered one genome closely correlated precocity line ( Figure S21 Text S1 ) , indicating locus putatively numerous effect small mainly additive ."
,,,,,,,,,"line hypothesis northward expansion northern USA Europe flint , accompanied directional selection early flowering gradually led accumulation increasing number early allele ."
,,,,,,,,,also observed additional marker showed significant signature diversifying selection associated flowering time panel .
,,,,,,,,,"Markers # 3 , # 8 , # 10 # 25 located region never reported associated flowering time knowledge illustrate differenti- ation adaptive trait ."
,,,,,,,,,"outlier marker associated flowering time study , suggesting false negative study ."
,,,,,,,,,"best false negative example noted chromosome 7 ( # 18 ) , clearly associated flowering time NAM design [ 4 ] ."
,,,,,,,,,also observed marker centromere chromosome 8 ( 50 95 Mb ) could closer causative locus surrounding associated marker .
,,,,,,,,,suggests single GWAS design analysis method sufficient unravel complex genetics underlying natural variation complex trait like flowering time .
,,,,,,,,,"highlight utility multiparental linkage based approach like NAM design break observed structure founder line reach balanced allele frequency , thus increasing statistical power [ 4 ] ."
,,,,,,,,,"evolutionary standpoint , geographical distance along flowering time divergence ultimately result reproductive barrier line ."
,,,,,,,,,"Even admixture still possible Genome Scan Flowering Time Adaptation Maize compatible line , genomic region involved adaptive trait tolerate restricted gene flow , resulting lower efficient recombination , lower diversity higher LD compared rest genome ."
,,,,,,,,,"Conclusion suggests selection , data generally show major difference flowering time among inbred maize line caused gene relatively marked effect ( Vgt1-Vgt2/ZCN8 , centromere chro- mosome 8 ) , cumulative effect many locus small intermediate effect ."
,,,,,,,,,"view predictive method offering flexibility effect magnitude Bayes B [ 110 ] , Bayes Cpi [ 111 ] Lasso [ 112 ] priori adapted RA-blups [ 113 ] ridge regression RR-blups [ 110 ] method constrain range variation effect fit distribution ."
,,,,,,,,,"complex network gene may involved signaling pathway control level florigen expression , accompanied wide range QTL effect open pollinated reproductive system , may facilitated flower- ing time adaptation local environment ."
,,,,,,,,,"Alleles increase precocity collectively found higher European Northern Flints dent tropicals number correlated precocity , consistent assumption phenotypic shift selectively driven many small effect locus ."
,,,,,,,,,"show polygenic selection flowering time necessarily lead fixation , allows flexibility flowering time secure rapid adaptation case environmental change ."
,,,,,,,,,"( XLS ) Acknowledgments author wish thank Philippe Jamin , Denis Coubriche , Thomas Presterl colleague KWS , Brigitte Gouesnard colleague INRA Mauguio , field experiment ; Marie-Christine Le Paslier , Aure´lie Be´rard Aure´lie Chevreau EPGV Evry contribution PLOS ONE | www.plosone.org 14 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize genotyping , Letizia Camus-Kulandaivelu Domenica Manicacci Universite´ Paris-Sud contribution first step association mapping research program ."
,,,,,,,,,( 2009 ) genetic architecture maize flowering time .
,,,,,,,,,( 2010 ) Linkage Association Mapping Arabidopsis thaliana Flowering Time Nature .
,,,,,,,,,"Lin YR , Schertz KF , Paterson AH ( 1995 ) Comparative analysis QTLs affecting plant height maturity across Poaceae , reference interspecific sorghum population ."
,,,,,,,,,( 1997 ) Identification quantitative trait locus controlling heading date rice using high-density linkage map .
,,,,,,,,,( 2004 ) Genetic architecture flowering time maize inferred Quantitative Trait Loci meta-analysis synteny conservation rice genome .
,,,,,,,,,"Mouradov , Cremer F , Coupland G ( 2002 ) Control Flowering Time ."
,,,,,,,,,"19. van Inghelandt , Melchinger AE , Martinant JP , Stich B ( 2012 ) Genome-wide association mapping flowering time northern corn leaf blight ( Setosphaeria turcica ) resistance vast commercial maize germplasm set ."
,,,,,,,,,"Chardon F , Hourcade , Combes V , Charcosset ( 2005 ) Mapping spontaneous mutation early flowering time maize highlight contrasting allelic series two-linked QTL chromosome 8 ."
,,,,,,,,,( 2008 ) Key impact Vgt1 flowering time adaptation maize : Evidence association mapping ecogeographical information .
,,,,,,,,,"Veyrieras J-B , Goffinet B , Charcosset ( 2007 ) MetaQTL : package new computational method meta-analysis QTL mapping experiment ."
,,,,,,,,,"Salvi , Castelletti , Tuberosa R ( 2009 ) updated consensus map flowering time QTLs maize ."
,,,,,,,,,( 2007 ) Conserved noncoding genomic sequence associated flowering-time quantitative trait locus maize .
,,,,,,,,,"Gianola , van Kaam JB ( 2008 ) Reproducing kernel Hilbert space regression method genomic assisted prediction quantitative trait ."
,,,,,,,,,( 2008 ) Nonparametric method incorporating genomic information genetic evaluation : application mortality broiler .
,,,,,,,,,( 2012 ) Detection QTL flowering time multiple family elite maize .
,,,,,,,,,( 2005 ) Maize association population : high-resolution platform quantitative trait locus dissection .
,,,,,,,,,"( 2011 ) large maize ( Zea may L. ) SNP genotyping array : Development germplasm genotyping , genetic mapping compare B73 reference genome ."
,,,,,,,,,( 2009 ) Fine mapping haplotype structure analysis major flowering time Quantitative Trait Locus maize chromosome 10 .
,,,,,,,,,"Foll , Gaggiotti ( 2008 ) genome-scan method identify selected locus appropriate dominant codominant marker : bayesian perspective ."
,,,,,,,,,PLOS ONE | www.plosone.org 15 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize 53 .
,,,,,,,,,"( 2008 ) Genotype , haplotype copy-number variation worldwide human population ."
,,,,,,,,,"Scheet P , Stephens ( 2006 ) fast flexible statistical model large-scale population genotype data : Applications inferring missing genotype haplotypic phase ."
,,,,,,,,,( 2006 ) unified mixed-model method association mapping account multiple level relatedness .
,,,,,,,,,"VSN International Ltd , Hemel Hempstead , UK.the text : 320 ."
,,,,,,,,,( 2010 ) DNA polymorphism haplotype pattern transcription factor involved barley endosperm development associated key agronomic trait .
,,,,,,,,,( 2012 ) Diversity linkage disequilibrium feature composite public/private dent maize panel : consequence association genetics evaluated case study using flowering time .
,,,,,,,,,"Dubreuil P , Warburton , Chastanet , Hoisington , Charcosset ( 2006 ) introduction temperate maize Europe : Large-scale bulk SSR genotyping new historical element ."
,,,,,,,,,"Charcosset , Gallais ( 1996 ) Estimation contribution Quantitative Trait Loci ( QTL ) variance quantitative trait mean genetic marker ."
,,,,,,,,,( 2012 ) Genic non-genic contribution natural variation quantitative trait maize .
,,,,,,,,,"Kizilkaya K , Fernando R , Garrick ( 2009 ) Genomic prediction simulated multibreed purebred performance using observed fifty thousand single nucleotide polymorphism genotype ."
,,,,,,,,,Genome Scan Flowering Time Adaptation Maize PLOS ONE | www.plosone.org 17 August 2013 | Volume 8 | Issue 8 | e71377
